DATE,GDP_PC1,CPIAUCSL_PC1
1948-01-01,9.28509,6.81818
1948-04-01,10.81401,9.37500
1948-07-01,11.86409,6.65499
1948-10-01,7.93894,2.73387
1949-01-01,3.49662,1.74468
1949-04-01,-0.44613,-0.95238
1949-07-01,-2.25899,-2.50411
1949-10-01,-3.47367,-1.82952
1950-01-01,2.10665,-1.12923
1950-04-01,7.01379,-0.16722
1950-07-01,12.92247,2.48421
1950-10-01,18.22361,5.80263
1951-01-01,19.64619,9.47547
1951-04-01,18.49523,8.58459
1951-07-01,14.02939,6.94330
1951-10-01,11.32476,5.96477
1952-01-01,7.08929,1.97063
1952-04-01,4.92313,2.31392
1952-07-01,4.64334,2.30503
1952-10-01,6.91620,0.90669
1953-01-01,7.82614,0.90944
1953-04-01,8.50871,0.90464
1953-07-01,6.38290,0.97634
1953-10-01,1.35447,0.59903
1954-01-01,-0.67916,1.12655
1954-04-01,-1.43663,0.63504
1954-07-01,-0.04474,-0.29751
1954-10-01,3.56608,-0.37216
1955-01-01,7.19563,-0.51987
1955-04-01,9.17096,-0.85375
1955-07-01,10.03207,0.14920
1955-10-01,9.34571,0.37355
1956-01-01,6.45721,0.37327
1956-04-01,5.80691,1.64732
1956-07-01,4.87424,1.86220
1956-10-01,5.34693,2.82843
1957-01-01,6.82962,3.60729
1957-04-01,5.83283,3.53591
1957-07-01,6.27207,3.54662
1957-10-01,3.12750,3.04017
1958-01-01,-0.47661,3.62527
1958-04-01,-0.00996,2.84596
1958-07-01,1.32453,2.08333
1958-10-01,5.19959,1.75623
1959-01-01,9.15216,0.34638
1959-04-01,10.73673,0.69180
1959-07-01,8.06704,1.17606
1959-10-01,5.81417,1.51881
1960-01-01,6.33277,1.51881
1960-04-01,3.52567,1.71762
1960-07-01,3.91784,1.23077
1960-10-01,2.19391,1.36008
1961-01-01,0.43675,1.46209
1961-04-01,2.67336,0.77676
1961-07-01,4.04323,1.24958
1961-10-01,7.48153,0.67092
1962-01-01,8.98961,1.10590
1962-04-01,8.06793,1.23995
1962-07-01,7.28653,1.46765
1962-10-01,5.45424,1.23292
1963-01-01,4.65630,1.12695
1963-04-01,4.89468,1.32406
1963-07-01,5.81534,0.98619
1963-10-01,6.80375,1.64582
1964-01-01,7.74524,1.40937
1964-04-01,7.76845,1.30676
1964-07-01,7.38419,1.17188
1964-10-01,6.63381,1.19819
1965-01-01,7.16131,1.19586
1965-04-01,7.59083,1.93486
1965-07-01,8.27882,1.73745
1965-10-01,10.68923,1.92000
1966-01-01,10.85889,2.77866
1966-04-01,10.24253,2.43594
1966-07-01,9.38380,3.57369
1966-10-01,7.96067,3.35950
1967-01-01,6.08696,2.54817
1967-04-01,5.46622,2.84126
1967-07-01,5.56282,2.59542
1967-10-01,5.77666,3.28068
1968-01-01,7.72558,3.93939
1968-04-01,10.05450,4.20420
1968-07-01,9.89236,4.46429
1968-10-01,9.82382,4.70588
1969-01-01,9.23149,5.24781
1969-04-01,7.99235,5.47550
1969-07-01,8.32235,5.69801
1969-10-01,7.24327,5.89888
1970-01-01,5.82511,6.09418
1970-04-01,5.78333,6.01093
1970-07-01,5.44713,5.66038
1970-10-01,4.86068,5.57029
1971-01-01,7.98668,4.43864
1971-04-01,8.32847,4.38144
1971-07-01,8.43564,4.08163
1971-10-01,9.34120,3.26633
1972-01-01,8.40880,3.50000
1972-04-01,9.52182,2.96296
1972-07-01,9.58592,3.18627
1972-10-01,11.64474,3.40633
1973-01-01,11.93564,4.83092
1973-04-01,11.64890,5.99520
1973-07-01,11.10149,7.36342
1973-10-01,11.09072,8.94118
1974-01-01,8.25552,10.13825
1974-04-01,8.21629,10.85973
1974-07-01,8.80072,11.94690
1974-10-01,8.35812,12.09503
1975-01-01,8.37622,10.46025
1975-04-01,7.96030,9.18367
1975-07-01,9.60202,7.90514
1975-10-01,10.13653,7.12909
1976-01-01,12.64581,6.06061
1976-04-01,12.13661,5.98131
1976-07-01,10.33664,5.49451
1976-10-01,9.78766,5.03597
1977-01-01,9.23714,6.42857
1977-04-01,10.99031,6.70194
1977-07-01,12.29302,6.42361
1977-10-01,11.89062,6.67808
1978-01-01,10.76671,6.37584
1978-04-01,13.41129,7.43802
1978-07-01,13.05563,8.48287
1978-10-01,14.44732,8.98876
1979-01-01,14.70201,10.25237
1979-04-01,11.13443,11.07692
1979-07-01,11.37812,11.87970
1979-10-01,9.96928,13.25479
1980-01-01,10.41839,14.59227
1980-04-01,7.95389,14.26593
1980-07-01,7.08204,12.76882
1980-10-01,9.60665,12.35371
1981-01-01,11.98505,10.61174
1981-04-01,13.05449,9.69697
1981-07-01,14.14768,10.96544
1981-10-01,9.88965,8.91204
1982-01-01,4.80429,6.88488
1982-04-01,5.35773,7.18232
1982-07-01,3.24212,4.94092
1982-10-01,3.71075,3.82572
1983-01-01,6.08102,3.59029
1983-04-01,7.40931,2.47423
1983-07-01,9.59079,2.76356
1983-10-01,11.52500,3.78710
1984-01-01,12.51337,4.89297
1984-04-01,12.03608,4.32596
1984-07-01,10.70891,4.28287
1984-10-01,9.32470,4.04339
1985-01-01,8.24231,3.79009
1985-04-01,7.11507,3.66442
1985-07-01,7.40706,3.24737
1985-10-01,7.12401,3.79147
1986-01-01,6.56537,2.15356
1986-04-01,5.83142,1.76744
1986-07-01,5.03550,1.75763
1986-10-01,4.80487,1.18721
1987-01-01,4.75304,2.84143
1987-04-01,5.73818,3.74771
1987-07-01,6.00924,4.27273
1987-10-01,7.52244,4.33213
1988-01-01,7.43762,3.83244
1988-04-01,7.98717,3.96476
1988-07-01,8.15386,4.18483
1988-10-01,7.81780,4.41176
1989-01-01,8.63097,4.89270
1989-04-01,8.13919,5.16949
1989-07-01,7.80888,4.43515
1989-10-01,6.43999,4.63960
1990-01-01,6.55836,5.23732
1990-04-01,6.19274,4.67365
1990-07-01,5.61423,6.16987
1990-10-01,4.48034,6.25495
1991-01-01,2.76665,4.82115
1991-04-01,2.79922,4.69592
1991-07-01,3.17236,3.39623
1991-10-01,4.32670,2.98063
1992-01-01,5.43354,3.18991
1992-04-01,5.61300,3.01471
1992-07-01,5.81224,2.99270
1992-10-01,6.64475,2.96671
1993-01-01,5.75752,3.01941
1993-04-01,5.22622,2.99786
1993-07-01,4.80393,2.76400
1993-10-01,4.98346,2.81096
1994-01-01,5.73884,2.65178
1994-04-01,6.43260,2.49480
1994-07-01,6.52384,2.96552
1994-10-01,6.29550,2.59740
1995-01-01,5.71468,2.78722
1995-04-01,4.60976,3.04260
1995-07-01,4.80216,2.54521
1995-10-01,4.25601,2.53165
1996-01-01,4.60204,2.84392
1996-04-01,5.96021,2.82152
1996-07-01,5.83464,3.00457
1996-10-01,6.26799,3.37882
1997-01-01,6.28060,2.76527
1997-04-01,6.04998,2.23357
1997-07-01,6.53534,2.21940
1997-10-01,6.12772,1.69705
1998-01-01,6.02470,1.37672
1998-04-01,5.29268,1.62297
1998-07-01,5.29012,1.42680
1998-10-01,6.02429,1.60692
1999-01-01,6.14902,1.72840
1999-04-01,6.20434,1.96560
1999-07-01,6.20023,2.62997
1999-10-01,6.52226,2.67640
2000-01-01,6.27409,3.76214
2000-04-01,7.57395,3.73494
